-hood ,/suff./@狀態;,/suff./@身分;
crank ,/n./@曲柄;,/n./@怪人;,/vi./@轉動曲柄;,/vt./@用曲柄轉動;
crash ,/v./@碰撞;,/v./@墜毀;
crate ,/n./@筐;,/n./@簍;,/n./@箱;,/n./@分隔箱;
crave ,/v./@渴望;,/v./@懇求;,/vt./@渴望獲得;,/vt./@渴望得到;,/vt./@迫切需要;
crawl ,/v./@爬;,/vi./@爬行;
crazy ,/adj./@瘋狂的;
creak ,/v./@咯吱咯吱響;,/n./@咯吱咯吱聲;
cream ,/n./@奶油;
creed ,/n./@信條;,/n./@教義;
creek ,/n./@小溪;,/n./@小灣;
creep ,/v./@爬;
cress ,/n./@水芹;
crest ,/n./@顶峰;,/n./@波峰;,/n./@羽飾;,/n./@紋飾;,/n./@肉冠;,/n./@羽冠;
crime ,/n./@罪;
crimp ,/n./@捲曲;,/n./@褶皺;
crisp ,/adj./@鬆脆的;
croak ,/v./@呱呱叫;,/vi./@咽气;
crook ,/n./@骗子;,/n./@弯曲;,/n./@弯处;,/n./@坏蛋;,/v./@彎曲;,/n./@鉤;,/n./@曲柄杖;
cross ,/v./@穿越;,/n./@叉形;,/n./@十字架;,/n./@十字标;,/adj./@横向的;,/adj./@斜线的;,/vt./@穿过;,/vt./@横穿;
crowd ,/n./@人羣;
crown ,/n./@王冠;
crude ,/adj./@粗糙的;,/adj./@未加工的;,/adj./@粗略的;
cruel ,/adj./@殘酷的;
crumb ,/n./@面包屑;,/n./@碎屑;,/v./@弄碎;,/n./@可鄙的人;
crush ,/v./@鎭壓;
crust ,/n./@麵包皮;,/n./@硬外皮;,/n./@地殼;,/n./@甲殼;,/n./@痂;,/n./@外殼;
crypt ,/n./@地窖;
culpa ,/n./@疏忽;,/n./@罪;
curly ,/adj./@捲曲的;,/adj./@捲毛的;
curry ,/n./@咖哩;
curve ,/n./@曲綫;,/n./@彎曲;,/vi./@弯曲;
cyber ,/adj./@網絡的;
cynic ,/n./@忿世嫉俗者;
dairy ,/n./@乳業;
dance ,/v./@跳舞;
datum ,/n./@數據;
daunt ,/v./@驚嚇;,/vt./@嚇倒;
death ,/n./@死亡;
debug ,/v./@調試;
debut ,/n./@初次登臺;,/n./@首次亮相;
decay ,/v./@腐敗;
decor ,/n./@裝飾;,/n./@佈置;
decoy ,/v./@誘騙;,/n./@誘餌;
defer ,/v./@拖延;
deign ,/vi./@屈尊;,/vi./@賜予;
deity ,/n./@神;,/n./@女神;,/n./@神性;,/n./@神的地位;,/n./@神的身分;
delay ,/v./@拖延;,/v./@推遲;
delve ,/v./@挖;,/v./@钻研;,/v./@探究;
dense ,/adj./@密集的;
depot ,/n./@倉庫;,/n./@停車場;,/n./@航空站;,/v./@儲藏;
depth ,/n./@深度;
deque ,/n./@雙端隊列;
deter ,/v./@制止;
detox ,/n.//redirected./@target="detoxification";,/v.//redirected./@target="detoxify";
devil ,/n./@魔鬼;
diary ,/n./@日記;
dingy ,/adj./@骯髒的;,/adj./@昏暗的;
dirge ,/n./@挽歌;
dirty ,/adj./@脏的;
disco ,/n./@迪斯科;
ditch ,/n./@溝渠;
ditto ,/n./@同上;,/adj./@同上的;
divan ,/n./@沙發牀;,/n./@厚墊睡榻;
dizzy ,/adj./@眩暈的;,/adj./@昏亂的;,/adj./@愚蠢的;,/adj./@困惑的;
dodge ,/v./@躲閃;,/v./@躲避;
dogma ,/n./@教條;,/n./@教理;
doing ,/v./正在@做;,/v./@做;
donor ,/n./@捐贈者;,/adj./@捐獻的;
donut ,/n./@甜甜圈;
doubt ,/v./@懷疑;
dough ,/n./@麵團;,/n./@錢;
douse ,/v./@熄滅;,/v./@弄濕;,/v./@浸泡;,/v./@脫掉;
draft ,/n./@草稿;,/n./@征募;,/n./@征兵;,/n./@服役;,/n./@汇票;
drain ,/vt./@排出;,/n./@排水;
drama ,/n./@戲劇;
drawl ,/v./@慢吞吞地說;
dread ,/n./@恐懼;,/n./@懼怕;
dream ,/n.//v./@夢;
dress ,/v./@穿著;,/n./@連衣裙;
drift ,/v./@漂流;,/v./@漂移;,/v./@漂泊;
drill ,/v./@鑽;,/n./@訓練;,/n./@鑽;,/n./@鑽頭;,/vt./@訓練;
drink ,/v./@喝;,/v./@飲;
drive ,/v./@駕駛;,/v./@驅動;,/n./@驱动器;,/vt./@操作;,/vi./@开车;,/n./@驱赶;,/vt./@驱赶;,/vt./@迫使;,/n./@车道;,/n./@路;,/n./@抽球;,/n./@活动;,/n./@运动;,/n./@欲望;,/n./@比赛;
drone ,/n./@無人機;,/n./@雄蜂;
drool ,/n./@口水;,/vi./@流口水;
drunk ,/adj./@喝醉的@<drink的過去式>;
dummy ,/adj./@假的;,/n./@傀儡;,/adj./@虛擬的;
Dutch ,/n./@荷蘭人;,/n./@荷蘭語;,/adj./@荷蘭的;,/adj./@荷蘭人的;,/adj./@荷蘭語的;
dwarf ,/n./@矮子;,/n./@侏儒;
dweeb ,/n./@愚昧;,/n./@白癡;
dwell ,/v./@居住;
dwelt ,/v./@居住@<dwell的過去式>;
eager ,/adj./@渴望的;
eagle ,/n./@鷹;
early ,/adj./@早的;,/adj./@提前的;
earth ,/n./@地球;
edema ,/n./@水腫;
edict ,/n./@詔書;
edify ,/vt./@教化;
eerie ,/adj./@怪異的;
eigen ,/adj./@特征的;,/adj./@本征的;,/adj./@自身的;,/adj./@独特的;
eight ,/n./@八;
eject ,/v./@噴射;
elate ,/v./@取悅;,/adj./@得意的;
elbow ,/n./@肘;
elect ,/v./@選舉;
elite ,/n./@精英;
elope ,/v./@私奔;,/v./@潛逃;
elude ,/v./@逃避;,/v./@躲避;
elves ,/n./<elf的復數>@精靈;
embed ,/v./@嵌入;,/v./@插入;,/v./@栽种;
ember ,/n./@餘火;,/n./@餘燼;
emend ,/vt./@校訂;
empty ,/adj./@空的;,/adj./@空白的;
endow ,/vt./@捐贈;,/vt./@賦予;,/vt./@資助;
enemy ,/n./@敵人;
enjoy ,/v./@享受;,/v./@(使)愉快;
enrol ,/v./@登記;
ensue ,/vi./@接著發生;,/vi./@接踵而來;
enter ,/v./@進入;
entry ,/n./@進入;,/n./@入口;,/n./@记录;,/n./@項目;,/n./@詞條;,/n./@帳目;
epoch ,/n./@紀元;,/n./@時代;
equal ,/adj./@相等的;
equip ,/v./@裝備;,/v./@配備;
erase ,/v./@擦除;
erect ,/adj./@竪直的;
erode ,/v./@腐蝕;
error ,/n./@錯誤;
essay ,/n./@散文;,/n./@論文;,/n./@小品文;
ether ,/n./@乙醚;,/n./@以太;,/n./@醚;,/n./@蒼穹;
ethic ,/adj./@道德的;,/adj./@倫理的;
ethos ,/n./@精神特質;,/n./@價值理念;,/n./@性格氣質;,/n./@價值觀;,/n./@道德思想;,/n./@道德觀;,/n./@信條;
ethyl ,/n./@乙基;
evade ,/v./@逃脫;,/vt./@躲避;,/vt./@逃避;,/vt./@迴避;
event ,/n./@事件;
every ,/adj./@每@一;
evict ,/vt./@驅逐;,/vt./@逐出;
evite ,/v./@囘避;
evoke ,/v./@喚起;,/vt./@引起;,/vt./@召喚;
exact ,/adj./@精確的;
exalt ,/v./@提升;,/v./@贊揚;
excel ,/v./@超過;,/v./@擅長;
exert ,/v./@发揮;,/vt./@竭盡;,/vt./@施加;,/vt./@運用;,/vt./@行使;
exile ,/v./@流放;,/v./@放逐;
exist ,/v./@存在;
expel ,/v./@驅逐;
extra ,/adj./@額外的;
fable ,/n./@寓言;
facet ,/n./@琢面;,/n./@方面;
faint ,/n./@眩暈;
faith ,/n./@信念;
false ,/adj./@假@的;,/adj./@錯的;
fancy ,/n./@幻想;,/n./@迷戀;,/n./@爱慕;,/n./@想像;,/n./@想像力;,/n./@怪念頭;
farce ,/n./@鬧劇;,/n./@胡鬧;
fatal ,/adj./@致命的;
fault ,/n./@錯誤;,/n./@過錯;
favor ,/n./@贊成;,/n./@喜愛;,/n./@好感;
feast ,/n./@盛宴;
feign ,/vt./@假裝;,/vt./@裝作;
femme ,/n./@妻子;,/n./@婦女;,/adj./@嬌柔的;
fence ,/n./@柵欄;,/n./@圍欄;,/n./@籬笆;
feral ,/adj./@野生的;,/adj./@野性的;,/adj./@野獸的;
ferry ,/n./@渡口;,/n./@渡船;,/v./@渡運;
fetch ,/v./@拿來;,/v./@取來;
fetus ,/n./@胎兒;,/n./@胎;
fever ,/n./@发燒;
fibre ,/n./@纖維;
field ,/n./@場;,/n./@領域;,/n./@田野;,/n./@戰場;
fiend ,/n./@魔鬼;
fiery ,/adj./@燃烧着的;
fight ,/v./@爭斗;,/v./@戰斗;
final ,/adj./@最終的;
first ,/adj./@第一的;
firth ,/n./@峽灣;
fishy ,/adj./@魚的;,/adj./@似魚的;,/adj./@可疑的;
flail ,/v./@打;,/v./@用連枷打;,/n./@連枷;
flame ,/n./@火焰;
flank ,/n./@側面;
flare ,/v./@閃耀;,/v./@閃光;,/v./@燃燒;,/n./@照明彈;,/n./@耀斑;
flash ,/n.//v./@閃光;,/v./@反射;
flask ,/n./@燒瓶;,/n./@酒瓶;
fleet ,/n./@艦隊;,/n./@船隊;
flesh ,/n./@鮮肉;
flick ,/v./@輕彈;,/vt./@輕拂;,/vt./@輕打;
fling ,/v./@扔;,/v./@抛;,/vt./@擲;,/vt./@猛推;,/vi./@猛衝;
flint ,/n./@燧石;,/n./@打火石;
flirt ,/v./@调情;,/v./@挑逗;,/v./@戏弄;
float ,/v./@漂浮;
flock ,/n./@羣;,/n./@衆多;,/n./@一羣;
flood ,/n./@洪水;
floor ,/n./@樓層;,/n./@地板;
fluff ,/n./@絨毛;,/n./@毛絮;,/n./@花絮;,/n./@失誤;,/vt./@抖蓬鬆;,/vt./@刷蓬鬆;,/n./@蓬鬆毛團;,/n./@無意義的娛樂;
fluid ,/n./@液体;,/adj./@流动的;,/adj./@流畅的;,/n./@流體;
fluky ,/adj./@僥幸的;,/adj./@幸中的;,/adj./@不可靠的;
flunk ,/n./@失敗;,/n./@放棄;,/n./@不及格;
flush ,/v./@激動;,/v./@发紅;,/adj./@洋溢的;,/v./@旺盛;,/v./@奔流;
flute ,/n./@笛子;
focus ,/v./@关註;
folly ,/n./@愚笨;
foray ,/n./@涉足;
force ,/n./@力;
fordo ,/v./@燬滅;
forex ,/n./@外匯;,/n./@外匯交易市場;
forge ,/v./@鍛造;,/v./@僞造;,/n./@鍛冶場;,/n./@鐵工廠;
forth ,/adv./@向前;,/adv./@向外;
forum ,/n./@論壇;,/n./@討論會;,/n./@法庭;
found ,/v./@創辦;,/v./@建立;
foyer ,/n./@門廳;
frail ,/adj./@脆弱的;
frame ,/n./@框架;,/n./@結構;,/n./@構造;,/n./@幀;,/v./@設計;,/v./@陷害;,/n./@骨架;
frank ,/adj./@坦白的;
fraud ,/n./@欺詐;
freak ,/n./@怪人;,/adj./@奇怪的;
fresh ,/adj./@新鮮的;
frisk ,/vi./@蹦跳;
Fritz ,/n./@德國人;
front ,/n./@正面;,/n./@前線;
frost ,/n./@霜;,/n./@霜凍;,/v./@結霜;
froth ,/n./@泡沫;,/n./@泡;,/vi./@起泡沫;,/vi./@吐白沫;
frown ,/v./@皺眉;
fruit ,/n./@水果;
fudge ,/n./@軟糖;,/n./@胡説;,/n./@謊話;,/v./@捏造;,/v./@欺騙;
fugue ,/n./@賦格曲;
fully ,/adv./@完全;,/adv./@徹底;
funny ,/adj./@有趣的;,/adj./@可笑的;
furry ,/adj./@毛皮的;,/adj./@覆有毛皮的;,/adj./@毛皮製的;,/adj./@毛皮般的;
fussy ,/adj./@易煩惱的;,/adj./@愛挑剔的;,/adj./@難以取悅的;
fuzzy ,/adj./@模糊的;,/adj./@失眞的;
gamer ,/n./@玩家;
gamut ,/n./@全音階;,/n./@整個範圍;,/n./@全範圍;,/n./@全部;,/n./@音域;
gauge ,/v./@測量;
gaunt ,/adj./@憔悴的;,/adj./@荒凉的;,/adj./@枯瘦的;
geese ,/n.//pl./@鵝;
genie ,/n./@妖怪;,/n./@精靈;,/n./@魔僕;
genre ,/n./@類型;,/n./@流派;,/n./@体裁;
genus ,/n./@屬;,/n./@種類;
ghost ,/n./@鬼;,/n./@幽靈;
giant ,/adj./@巨大的;,/n./@巨人;
gland ,/n./@腺;
glare ,/v./@瞪;
glass ,/n./@玻璃;,/n./@鏡子;
gleam ,/n./@微光;,/n./@閃光;,/v./@閃耀;
glean ,/v./@收集;,/vt./@搜集;
glide ,/v./@滑行;
glint ,/v./@閃耀;
gloat ,/v./@幸災樂禍;
globe ,/n./@地球;,/n./@球體;
gloom ,/n./@昏暗;,/n./@憂郁;
glory ,/n./@光榮;
glove ,/n./@手套;
glute ,/n./@臀部;
glyph ,/n./@字形;,/n./@圖像字符;
gnome ,/n./@格言;
gonna ,/aux./@會;
goods ,/n./@商品;,/n./@貨物;
goofy ,/adj./@愚蠢的;,/adj./@愚笨的;,/adj./@滑稽的;,/adj./@古怪的;
goose ,/n./@鹅;
gorge ,/n./@峽谷;,/n./@咽喉;
gouge ,/vt./@鑿;,/vt./@挖;
gourd ,/n./@葫蘆;
grade ,/n./@年級;,/n./@等級;,/n./@評分;,/n./@成績;
grail ,/n./@杯;,/n./@聖杯;
grain ,/n./@穀物;,/n./@糧食;,/n./@顆粒;,/n./@穀粒;
grand ,/adj./@宏偉的;,/adj./@極好的;,/adj./@重大的;,/n./@一千英镑;,/n./@一千美元;,/n./@大钢琴;
grant ,/v./@授予;
graph ,/n./@圖表;,/n./@曲綫圖;
grasp ,/v./@抓緊;,/n./@掌握;,/n./@控制;,/n./@理解;,/vt./@抓住;,/vt./@理解;
grass ,/n./@草;
grave ,/n./@墳墓;
graze ,/v./@吃草;,/v./@放牧;,/v./@刮擦;
great ,/adj./@偉大的;,/adj./@極好的;
greed ,/n./@貪婪;,/n./@貪心;
green ,/n./@綠色;,/adj./@綠色的;
grief ,/n./@悲哀;
grill ,/v./@燒;,/v./@烤;,/v./@拷問;,/n./@烤架;,/n./@烤肉;
grime ,/n./@汙垢;,/n./@汙點;,/n./@汙穢;,/n./@塵垢;
grind ,/v./@碾碎;,/v./@磨碎;,/n./@苦差;,/n./@研磨;,/vt./@压迫;
