invocation ,/n./@援引;,/n./@引用;,/n./@召喚;,/n./@祈求;
ionization ,/n./@電離;,/n./@離子化;
iridescent ,/adj./@彩虹色的;,/adj./@虹彩的;,/adj./@色彩斑斓的;
irrational ,/adj./@不合理的;
irreverent ,/adj./@不敬的;
irritating ,/adj./@令人恼怒的;
jeopardize ,/v./@危及;
journalism ,/n./@新聞業;
journalist ,/n./@记者;
kidnapping ,/n./@绑架;,/n./@拐骗;
kinematics ,/n./@运动学;
knighthood ,/n./@騎士身分;,/n./@爵士身分;,/n./@爵士頭銜;,/n./@爵位;,/n./@騎士;
Kyrgyzstan ,/n./@吉尔吉斯斯坦;
laboratory ,/n./@實驗室;
lavishness ,/n./@大方;,/n./@浪費;,/n./@豐富;
leadership ,/n./@領導;
legitimacy ,/n./@合法性;,/n./@合理性;,/n./@正統性;,/n./@正當性;
legitimate ,/adj./@合法的;,/adj./@合理的;,/adj./@正統的;,/adj./@婚生的;
lengendary ,/adj./@传奇般的;
leucoderma ,/redirected./@target="vitiligo";
leukoderma ,/redirected./@target="vitiligo";
lieutenant ,/n./@中尉;,/n./@陆军中尉;,/n./@海军上尉;
likelihood ,/n./@可能;,/n./@可能性;
linguistic ,/adj./@語言的;,/adj./@語言學的;
locomotive ,/n./@火车头;,/n./@機車;,/adj./@運動的;,/adj./@有運動能力的;
loneliness ,/n./@寂寞;
mackintosh ,/n./@雨衣;
Madagascan ,/adj./@馬達加斯加的;,/n./@馬達加斯加人;,/adj./@馬達加斯加人的;
Madagascar ,/n./@馬達加斯加;
magistrate ,/n./@地方执法官;
mainstream ,/n./@主流;
malevolent ,/adj./@惡毒的;,/adj./@有惡意的;
manipulate ,/v./@操纵;,/v./@操作;,/v./@摆布;,/vt./@篡改;
manuscript ,/n./@手稿;,/n./@手抄本;
masquerade ,/n./@化妆;,/n./@伪装;,/n./@化妆舞会;
masturbate ,/vi./@手淫;
meaningful ,/adj./@有意义的;
mechanical ,/adj./@机械的;
meditation ,/n./@冥想;
megalithic ,/adj./@巨石建造的;
melancholy ,/n./@忧郁;,/n./@悲哀;,/n./@愁思;,/adj./@忧郁的;,/adj./@悲伤的;
membership ,/n./@會員資格;,/n./@全體成員;
menstruate ,/vi./@行經;,/vi./@月經來潮;
