depravity ,/n./@堕落;
deprecate ,/v./@反对;,/v./@抨击;
desertion ,/n./@遺棄;,/n./@離棄;,/n./@逃亡;,/n./@逃跑;
designate ,/v./@制定;
desperate ,/adj./@绝望的;
destroyed ,/adj./@被毁的;
detection ,/n./@發現;,/n./@偵察;
detective ,/n./@侦探;
determine ,/v./@下决心;,/v./@确定;
deterrent ,/adj./@威慑的;,/n./@威慑;
detonator ,/n./@雷管;,/n./@炸藥;,/n./@導火索;
devastate ,/v./@毀滅;,/v./@毀壞;
developer ,/n./@开发者;
dexterity ,/n./@灵巧;,/n./@机敏;,/n./@敏捷;
diagnosis ,/n./@診斷;
diagramma ,/n./@图解;
diaphragm ,/n./@快門;,/n./@光圈;,/n./@膈膜;,/n./@橫膈膜;
dichotomy ,/n./@二分;,/n./@二分法;,/n./@分裂;,/n./@双歧;
dictation ,/n./@口授;,/n./@聽寫;
different ,/adj./@不同的;
difficult ,/adj./@困难的;
digestion ,/n./@消化;,/n./@领悟;
dignified ,/adj./@尊贵的;,/adj./@庄重的;
dignitary ,/n./@要人;,/n./@顯貴;
diligence ,/n./@勤奮;,/n./@勤勉;
dimension ,/n./@维度;,/n./@次元;
diphthong ,/n./@雙元音;,/n./@二合元音;
diplomacy ,/n./@外交;
direction ,/n./@方向;
directive ,/n./@命令;,/n./@指令;
directory ,/n./@目錄;,/n./@地址錄;
disappear ,/v./@消失;
discharge ,/v./@解除;,/v./@釋放;
discopter ,/n./@飛碟;
discourse ,/n./@談話;,/n./@演講;,/n./@論文;,/n./@交談;,/vi./@論述;,/vi./@講述;
discovery ,/n./@发现;
disengage ,/v./@解除;,/v./@脫離;
dishonest ,/adj./@不诚实的;
dismantle ,/v./@拆除;,/v./@解散;,/v./@取消;
dismissal ,/n./@解雇;
disorient ,/vt./@使失去方向;,/vt./@使迷惘;
disparage ,/vt./@貶低;,/vt./@毀謗;
disparity ,/n./@不同;,/n./@懸殊;
dispersal ,/n./@分散;,/n./@传播;,/n./@散布;,/n./@疏散;,/n./@消失;
disregard ,/v./@忽视;,/v./@不尊重;
dissenter ,/n./@反对者;,/n./@异议者;
dissident ,/n./@持不同政见者;
dissipate ,/v./@耗费;,/v./@驱散;,/v./@浪费;,/v./@消耗;,/vt./@消除;
distingue ,/adj./@高尚的;
divergent ,/adj./@有分歧的;,/adj./@不同的;
diversion ,/n./@转移;,/n./@消遣;
diversity ,/n./@多样化;,/n./@多元;
dominance ,/n./@支配;,/n./@統治;,/n./@優勢;
dormitory ,/n./@宿舍;
dosimeter ,/n./@放射量測定器;,/n./@劑量計;
dragonfly ,/n./@蜻蜓;
duplicate ,/v./@复制;
dysentery ,/n./@痢疾;
dystopian ,/adj./@反面烏托邦的;,/adj./@反烏托邦的;,/adj./@反烏托邦式的;
earnestly ,/adv./@认真地;
eccentric ,/adj./@古怪的;,/adj./@不正圓的;,/adj./@偏心的;,/adj./@不同圓心的;,/n./@古怪的人;,/n./@偏心圓;,/n./@偏心輪;
economist ,/n./@经济学家;
edematous ,/adj./@浮腫的;,/adj./@水腫的;
editorial ,/n./@社論;,/adj./@编辑的;
education ,/n./@教育;
effective ,/adj./@有效的;
efficient ,/adj./@效率高的;
ejaculate ,/v./@射精;
elaborate ,/v./@闡述;,/adj./@詳盡的;,/adj./@精心制作的;,/adj./@精密的;,/adj./@精细的;,/adj./@複雜的;
electrode ,/n./@電極;
elemental ,/adj./@自然力的;,/adj./@基本的;,/adj./@原始的;,/adj./@強大的;,/adj./@元素的;
elevation ,/n./@海拔;,/n./@提高;,/n./@崇高;
eliminate ,/v./@消除;,/v./@排除;
elsewhere ,/adv./@在别处;
elucidate ,/v./@闡明;
emanation ,/n./@散发;,/n./@喷发;,/n./@表現;,/n./@顯示;
embarrass ,/v./使@尴尬;
embellish ,/vt./@美化;,/vt./@裝飾;,/vt./@潤色;
embroider ,/v./@刺綉;,/v./@裝飾;,/v./@鑲邊;,/vi./@綉花;
emergence ,/n./@出现;,/n./@現身;,/n./@顯露;,/n./@嶄露頭角;,/n./@形成;,/n./@浮現;,/n./@脫繭;,/n./@羽化;
emergency ,/n./@紧急情况;
emphasize ,/v./@強調;,/v./@著重;
empirical ,/adj./@經驗的;,/adj./@實證的;
empitical ,/adj./@经验主义的;
enclosure ,/n./@圈地;,/n./@圍場;,/n./@圈圍;,/n./@圍住;,/n./@圍欄;,/n./@圍牆;,/n./@附件;
