centaur ,/n./@半人馬;
Centaur ,/redirected./@target="Centaurus";
central ,/adj./@中央的;,/adj./@中心的;
ceramic ,/adj./@陶瓷的;,/n./@陶瓷;
certain ,/adj./@某一;,/adj./@必然的;,/adj./@確信;,/adj./@有把握的;
certify ,/v./@證明;,/v./@保證;
chalice ,/n./@杯;,/n./@酒杯;
chamber ,/n./@會議室;,/n./@會所;,/n./@大厅;
chaotic ,/adj./@混亂的;,/adj./@紊亂的;
chapter ,/n./@章節;
chariot ,/n./@双轮战车;
charity ,/n./@慈善;,/n./@施捨;,/n./@仁慈;
charter ,/n./@憲章;,/n./@特許證;
chassis ,/n./@底盤;,/n./@底座;,/n./@底架;,/n./@砲座;,/n./@起落架;
chemist ,/n./@藥劑師;,/n./@藥商;,/n./@化學家;
cherish ,/v./@珍視;
chicken ,/n./@小鷄;
chimney ,/n./@煙囪;
chinese ,/n./@漢語;
Chinese ,/n./@漢語;
chowder ,/n./@雜燴;
chronic ,/adj./@慢性的;,/adj./@長期的;,/adj./@久病的;,/adj./@習慣性的;
chuckle ,/v./@輕笑;
ciboria ,/redirected./@target="ciborium";
circuit ,/n./@逥路;,/n./@巡逥;,/n./@電路;
clamber ,/v./@攀登;
clarify ,/v./@澄清;
clarity ,/n./@清楚;,/n./@清晰;,/n./@明確性;
classic ,/adv./@經典的;
clatter ,/v./@嘩啦響;
cleanse ,/v./@淨化;
clement ,/adj./@寬容的;,/adj./@善良的;,/adj./@仁慈的;
climate ,/n./@氣候;
clobber ,/v./@擊倒;,/v./@痛打;
closure ,/n./@停止;
cluster ,/n./@群;,/n./@簇;,/n./@叢;,/n./@串;
clutter ,/n./@雜亂;
cocaine ,/n./@可卡因;,/n./@古柯鹼;
cockade ,/n./@帽徽;,/n./@帽章;,/n./@帽上的花結;
cockney ,/n./@倫敦東區佬;,/n./@倫敦東區土話;,/adj./@倫敦東區佬的;,/adj./@倫敦東區土話的;
cockpit ,/n./@座艙;,/n./@駕駛艙;,/n./@駕駛座;,/n./@鬥雞場;,/n./@戰場;
cognate ,/adj./@同源的;,/adj./@同根的;,/adj./@同系的;,/n./@同源詞;,/n./@同根詞;
collage ,/n./@拼貼畫;
collate ,/v./@整理;,/v./@核對;,/v./@校對;
collect ,/v./@收集;
college ,/n./@大學;,/n./@學院;
collide ,/v./@碰撞;,/v./@衝突;,/v./@抵觸;
colonel ,/n./@上校;,/n./@陸軍上校;
combine ,/v./@結合;
comical ,/adj./@滑稽的;
command ,/v./@命令;
commend ,/v./@推薦;,/v./@稱贊;
comment ,/v./@評論;,/n./@评论;
commune ,/v./@談心;,/v./@密切交流;,/n./@公社;
commute ,/vi./@通勤;,/vt./@减轻;,/n./@上下班路程;,/vt./@變換;,/vt./@改變;
compact ,/n./@合同;,/n./@契约;,/adj./@紧凑的;,/adj./@紧密的;,/adj./@简洁的;
company ,/n./@公司;
compare ,/v./@比較;
compass ,/n./@羅盤;
compete ,/v./@競爭;,/v./@對抗;,/v./@比賽;
compile ,/v./@編譯;
complex ,/adj./@復雜的;
compose ,/v./@組成;,/v./@譜@曲;
compost ,/v./@堆肥;,/n./@堆肥;,/n./@混合物;
compute ,/v./@計算;
concave ,/adj./@凹的;,/adj./@凹面的;
conceal ,/v./@隱藏;
concede ,/v./@讓步;,/v./@認輸;,/v./@讓予;
conceit ,/n./@自負;,/v./@狂想;
concept ,/n./@概念;,/n./@觀念;
concern ,/v./@涉及;,/v./@关係到;,/v./@关心;
concert ,/n./@音樂會;
concise ,/adj./@簡潔的;
concoct ,/v./@捏造;,/v./@調和;,/v./@圖謀;
concord ,/n./@一致;,/n./@和睦;
condemn ,/v./@譴責;,/v./@判@刑;
conduct ,/v./@帶領;,/v./@管理;,/v./@引導;,/v./@實施;,/v./@導電;
confess ,/v./@忏悔;
confine ,/v./@限制;,/v./@禁閉;,/n./@限制;,/n./@約束;,/n./@界限;,/vt./@监禁;
confirm ,/v./@證實;
conform ,/v./@符合;,/v./@遵守;
confuse ,/v./@使困惑;
conical ,/adj./@圓錐形的;
conifer ,/n./@松柏;
conjure ,/vt./@用魔法變出;,/vt./@唸咒召喚;,/vi./@施魔法;,/vi./@變魔術;,/v./@令人想起;
connect ,/v./@連接;
connote ,/v./@意味著;
conquer ,/v./@攻擊;
consent ,/v./@同意;
consist ,/v./@組成;
console ,/n./@控制臺;
consort ,/n./@配偶;,/vi./@厮混;,/n./@僚艦;
consult ,/v./@請教;,/v./@谘詢;
consume ,/v./@消耗;,/v./@毀滅;
contact ,/v./@聯係;,/v./@接触;
contain ,/v./@包括;
contend ,/vi./@競爭;,/vi./@奮鬥;,/vi./@鬥爭;
content ,/adj./@滿足的;,/n./@含量;,/n./@内容;
contest ,/n./@競爭;,/n./@爭辯;,/n./@竞赛;,/n./@比赛;
context ,/n./@背景;
contort ,/v./@扭曲;
contour ,/n./@輪廓;,/n./@等高綫;,/n./@周綫;,/n./@概要;,/n./@外形;,/n./@形體;
control ,/v./@控制;
convene ,/vi./@召开;,/vt./@召开;
convent ,/n./@女修道院;
convert ,/v./@轉變;,/v./@改變;
convict ,/v./@證明@有罪;
copious ,/adj./@豐富的;
cordial ,/adj./@熱誠的;,/adj./@诚恳的;,/adj./@强烈的;
corpora ,/n./@全集;,/n./@主體;
correct ,/adj./@正確的;
corrode ,/vt./@腐蚀;,/vt./@锈蚀;,/vt./@侵蚀;
corrupt ,/v./@腐化;,/v./@使腐化;
costume ,/n./@服裝;
cottage ,/n./@小屋;,/n./@村舍;
counsel ,/v./@建議;,/v./@商討;,/v./@勸告;,/n./@顧問;,/v./@商議;
counter ,/vt./@反击;,/n./@柜台;,/n./@专柜;,/n./@筹码;,/n./@计数器;
country ,/n./@國家;
coupler ,/n./@耦合器;,/n./@连接器;,/n./@车钩;,/n./@联键音栓;
courage ,/n./@勇氣;
courier ,/n./@快遞員;,/n./@情報員;,/n./@通訊員;
cramped ,/adj./@狹窄的;
crampon ,/n./@帶釘鞋底;,/n./@尖釘鐵鞋底;,/n./@起重釣鉤;
cranium ,/n./@顱;,/n./@頭蓋骨;
crapper ,/n./@厠所;
crevice ,/n./@裂縫;,/n./@裂隙;
cricket ,/n./@蟋蟀;,/n./@板球;,/n./@腳凳;
crimson ,/n./@深紅色;,/adj./@深紅色的;
cripple ,/n./@跛子;,/v./@削弱;,/v./@使跛;
crooked ,/adj./@彎曲的;,/adj./@歪的;,/adj./@變形的;,/adj./@扭曲的;,/adj./@不正當的;,/adj./@欺詐的;,/adj./@弯腰驼背的;,/adj./@歪斜的;
crucial ,/v./@重要的;
crucify ,/v./@在十字架上釘死;
cruelly ,/adv./@殘忍地;
cruelty ,/n./@殘忍;
crumple ,/v./@弄皺;
cryptic ,/adj./@神秘的;,/adj./@隱祕的;
cryptid ,/n./@神秘生物;
crystal ,/n./@鑽石;
cubicle ,/n./@小隔間;
culprit ,/n./@罪犯;,/n./@犯错的人;,/n./@肇事者;,/n./@问题的根源;
culture ,/n./@文化;
curious ,/adj./@好奇的;
current ,/adj./@當今;
curtail ,/vt./@縮減;,/vt./@削減;,/vt./@限制;,/vt./@縮短;,/vt./@制止;,/vt./@減少;,/vt./@省略;,/vt./@剝奪;,/vt./@褫奪;
curtain ,/n./@窗簾;,/n./@幕布;
cushion ,/n./@墊子;,/n./@靠墊;,/n./@減震墊;,/n./@緩衝物;,/vt./@緩衝;
custody ,/v./@保管;,/v./@監護;,/n./@监禁;,/n./@拘留;
cutlery ,/n./@刀具;,/n./@餐具;,/n./@刀叉;,/n./@餐刀;
cyanide ,/n./@氰化物;
cyclone ,/n./@旋風;,/n./@氣旋;
Cyclops ,/n./@獨眼巨人;
cypress ,/n./@柏樹;
darling ,/adj./@親愛的;
dataset ,/n./@数据集;,/n./@资料集;,/n./@资料组;
dealing ,/n./@處理;,/n./@交往;,/n./@生意;
