informal ,/adj./@非正式的;
infrared ,/adj./@红外线的;
infringe ,/v./@侵權;
inherent ,/adj./@固有的;
initiate ,/v./@开始;,/v./@创始;
innocent ,/adj./@天真的;
innovate ,/v./@革新;
insolent ,/adj./@無理的;,/adj./@傲慢的;
instance ,/n./@例子;
instinct ,/n./@本能;
instruct ,/v./@指导;,/v./@指示;
insulate ,/v./@隔離;,/v./@孤立;,/v./@絕緣;
integral ,/adj./@組成的;,/adj./@整體的;
intently ,/adv./@專心地;
interact ,/v./@相互作用;
interest ,/n./@利益;,/n./@兴趣;
internal ,/adj./@內部的;,/adj./@國內的;
internet ,/n./@互联网;
interval ,/n./@間隔;,/n./@中間休息;
intimacy ,/n./@亲密;
intimate ,/adj./@亲密的;
intruder ,/n./@侵入者;
inundate ,/v./@淹沒;,/v./@汎濫;,/v./@浸水;
invasion ,/n./@入侵;
investor ,/n./@投资者;
irrigate ,/v./@灌溉;
irritate ,/v./@惹怒;
Japanese ,/n./@日本人;
jaundice ,/n./@黃疸;,/n./@偏見;,/n./@怪癖;,/vt./@(使)懷偏見;,/vt./@(使)患黃疸;
jealousy ,/n./@妒忌;
jeopardy ,/n./@危險;
jetliner ,/n./@噴氣客機;
judicial ,/adj./@司法的;
juvenile ,/adj./@青少年的;
kangaroo ,/n./@袋鼠;
keyboard ,/n./@键盘;
laminate ,/v./@鍛壓;,/v./@層壓;,/v./@分成薄片;
landmine ,/n./@地雷;
language ,/n./@语言;
languish ,/vi./@憔悴;,/vi./@凋萎;,/vi./@蕭條;,/vi./@苦思;
latitude ,/n./@纬度;
laughter ,/n./@笑;,/n./@笑聲;
lavatory ,/n./@盥洗室;,/n./@廁所;
lavender ,/n./@薰衣草;
lengthen ,/v./@变长;
leverage ,/n./@手段;,/n./@影响力;
likeness ,/n./@相像;,/n./@類似;
likewise ,/adv./@同樣;,/adv./@照樣;
linchpin ,/n./@关键;,/n./@制轮楔;,/n./@轮辖;
lingerie ,/n./@女士内衣裤;
linguist ,/n./@語言學家;
literacy ,/n./@識字;
literate ,/adj./@有文化的;,/adj./@受過教育的;
littoral ,/adj./@沿海的;,/adj./@海濱的;
lividity ,/n./@鐵青色;,/n./@鉛色;
locality ,/n./@地区;
localize ,/v./@局部化;,/v./@地方化;
location ,/n./@位置;
lollipop ,/n./@棒棒糖;
lonesome ,/adj./@寂寞的;
lopsided ,/adj./@歪的;
magazine ,/n./@杂志;,/n./@期刊;
magister ,/n./@教師;
magnetic ,/adj./@磁性的;
mahogany ,/n./@桃花心木;
mainland ,/n./@大陸;,/n./@本土;
maintain ,/v./@维持;,/v./@继续;,/v./@主张;
majority ,/n./@多数;
mandarin ,/n./@大人;,/adj./@官方的;
maneuver ,/n./@機動;,/n./@演習;,/v./@機動;,/v./@演習;
maniacal ,/adj./@瘋狂的;
manicure ,/v./@修剪;
manifest ,/v./@表明;
manpower ,/n./@人力;
maritime ,/adj./@海的;,/adj./@海事的;
